"nNames","P38","P40","P42","P43","P44","P46","P48","P49","P51","P57","P58","P140","P154","P155","P156","P157","P158","P160","P162","P246","P248","P264","P266","P372","P492","P596","P609","P633","P823","P826","P827","P830","P831","P842","P844","P846","P847","P850","P851","P852","P853","P855","P858","P859","P861","P866","P871","P1044","P1045"
" J53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.48
" J54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5
" J55",0.02,0.01,0,0,0.01,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0.02,0,0,0,0,0,0,0,0.01,0.01,0.47,0.47,0,0,0.49,0.5,0,0,0,0,0,0,0.5,0.5
" J56",0.15,0.07,0,0,0.07,0,0,0,0,0.03,0.03,0,0.07,0.07,0.04,0,0,0,0.03,0.03,0.07,0,0.04,0.07,0.04,0.25,0.09,0,0,0,0,0,0,0.02,0.01,0.17,0.17,0.06,0.03,0.43,0.49,0,0,0,0,0,0,0.49,0.49
" J57",0.08,0.22,0,0,0.22,0,0,0,0,0.08,0.08,0,0.22,0.22,0.13,0,0,0,0.08,0.08,0.22,0,0.13,0.22,0.13,0.13,0.21,0,0,0,0,0,0,0.07,0.03,0.15,0.15,0.19,0.1,0.28,0.49,0,0,0,0,0,0,0.49,0.49
" J58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0.5
" J59",0.06,0.25,0,0,0.25,0,0,0,0,0.1,0.1,0,0.25,0.25,0.15,0,0,0,0.1,0.09,0.24,0,0.15,0.25,0.15,0.11,0.17,0,0,0,0,0,0,0.08,0.13,0.14,0.14,0.11,0.06,0.25,0.49,0,0,0,0,0,0,0.49,0.49
" J60",0.04,0.17,0,0,0.31,0,0,0,0,0.12,0.12,0,0.31,0.31,0.19,0,0,0,0.12,0.12,0.31,0,0.19,0.31,0.19,0.07,0.12,0,0,0,0,0,0,0.06,0.1,0.1,0.1,0.08,0.04,0.17,0.49,0,0,0,0,0,0,0.49,0.49
" J61",0,0,0.49,0,0,0,0.49,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0.49,0,0.49,0,0.49,0.49
" J62",0.06,0.24,0,0,0.24,0,0,0,0,0.09,0.09,0,0.24,0.24,0.15,0,0,0,0.09,0.09,0.24,0,0.15,0.24,0.15,0.11,0.17,0,0,0,0,0,0,0.08,0.35,0.14,0.14,0.1,0.06,0.25,0.49,0,0,0,0,0,0,0.49,0.49
" J64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0
" J65",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
" J66",0.02,0.06,0,0,0.43,0,0,0,0,0.03,0.03,0,0.06,0.06,0.04,0,0,0,0.03,0.02,0.06,0,0.04,-0.06,0.04,0.03,0.04,0,0,0,0,0,0,0.02,0.04,0.04,0.04,0.03,0.01,0.06,0.49,0,0,0,0,0,0,0.49,0.49
" J67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5
" J68",0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0.5
" J69",0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5
" J70",0,0,0.49,0,0,0.49,0.49,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0.49,0,0.49,0.49,0.49,0.49
" J71",0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5
" J72",0,0,0.49,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0.49,0.49,0,0,0.49,0.49
" J73",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5
