		ELEVATION	BASEDEMAND	PRESSURE	HEAD	DEMAND
		m	LPS	m	m	LPS
J511	00:00:00	105.08	1.18	29.97	135.05	0.73
J411	00:00:00	8.95	0.89	65.43	74.38	0.51
J414	00:00:00	34.36	0.97	34.59	68.95	0.55
J415	00:00:00	65.00	0.00	84.59	149.59	0.00
J416	00:00:00	42.60	0.00	99.20	141.80	0.00
J417	00:00:00	37.38	1.29	29.79	67.17	0.73
J418	00:00:00	37.39	0.00	28.91	66.30	0.00
J419	00:00:00	40.50	0.00	25.28	65.78	0.00
J310	00:00:00	51.84	1.36	53.82	105.66	0.71
J311	00:00:00	55.95	1.18	49.73	105.68	0.62
J312	00:00:00	68.48	0.08	36.45	104.93	0.04
J313	00:00:00	67.66	0.69	37.26	104.92	0.36
J314	00:00:00	14.94	1.44	58.65	73.59	0.82
J315	00:00:00	16.03	1.32	57.48	73.51	0.75
J316	00:00:00	12.98	0.62	60.83	73.81	0.35
J318	00:00:00	53.67	1.60	51.45	105.12	0.84
J319	00:00:00	39.29	1.45	65.83	105.12	0.76
J210	00:00:00	7.01	0.09	67.06	74.07	0.05
J211	00:00:00	11.27	1.58	62.81	74.08	0.90
J212	00:00:00	7.87	0.61	66.20	74.07	0.35
J214	00:00:00	8.67	0.87	65.42	74.09	0.50
J217	00:00:00	10.98	1.28	62.58	73.56	0.73
J218	00:00:00	7.68	0.09	66.39	74.07	0.05
J219	00:00:00	52.00	0.99	60.40	112.40	0.53
J110	00:00:00	15.92	0.78	63.46	79.38	0.44
J420	00:00:00	39.99	0.00	25.89	65.88	0.00
J421	00:00:00	37.09	1.04	29.81	66.90	0.59
J422	00:00:00	38.81	0.00	27.49	66.30	0.00
J1153	00:00:00	22.14	0.44	50.72	72.86	0.25
J1154	00:00:00	14.61	0.47	58.68	73.29	0.26
J1155	00:00:00	15.54	1.38	57.69	73.23	0.79
J425	00:00:00	64.42	0.00	76.97	141.39	0.00
J426	00:00:00	72.71	0.00	68.37	141.08	0.00
J1157	00:00:00	22.21	1.64	50.64	72.85	0.94
J427	00:00:00	67.65	0.00	74.11	141.76	0.00
J1158	00:00:00	28.25	0.38	44.90	73.15	0.22
J428	00:00:00	16.20	1.16	51.45	67.65	0.66
J429	00:00:00	12.56	1.63	55.21	67.77	0.93
J320	00:00:00	46.73	0.41	59.40	106.13	0.21
J321	00:00:00	44.59	0.89	61.49	106.08	0.47
J322	00:00:00	48.02	0.18	58.06	106.08	0.09
J324	00:00:00	42.38	1.67	63.70	106.08	0.87
J1056	00:00:00	7.64	1.13	66.55	74.19	0.64
J327	00:00:00	49.68	0.03	56.71	106.39	0.01
J1058	00:00:00	13.58	0.96	57.01	70.59	0.55
J328	00:00:00	45.69	0.17	60.91	106.60	0.09
J329	00:00:00	44.05	0.17	68.06	112.11	0.09
J220	00:00:00	80.00	1.33	32.36	112.36	0.71
J221	00:00:00	97.07	0.47	7.60	104.67	0.25
J225	00:00:00	13.33	0.08	60.37	73.70	0.04
J226	00:00:00	11.10	0.49	62.36	73.46	0.28
J50	00:00:00	71.80	0.64	32.86	104.66	0.33
J51	00:00:00	77.42	0.50	27.23	104.65	0.26
J53	00:00:00	85.00	1.58	22.12	107.12	0.85
J54	00:00:00	80.00	1.63	27.64	107.64	0.88
J128	00:00:00	85.26	0.67	48.61	133.87	0.41
J55	00:00:00	71.00	0.46	36.82	107.82	0.25
J129	00:00:00	62.85	0.27	70.45	133.30	0.17
J56	00:00:00	72.00	0.27	36.22	108.22	0.15
J57	00:00:00	59.00	1.08	50.47	109.47	0.58
J58	00:00:00	76.00	0.68	31.79	107.79	0.37
J59	00:00:00	57.00	0.69	53.00	110.00	0.37
J1160	00:00:00	24.91	1.19	46.19	71.10	0.68
J1161	00:00:00	25.25	0.54	45.82	71.07	0.31
J431	00:00:00	16.90	1.06	54.79	71.69	0.60
J432	00:00:00	19.88	0.35	51.53	71.41	0.20
J433	00:00:00	27.35	0.31	44.43	71.78	0.18
J434	00:00:00	16.48	0.97	57.34	73.82	0.55
J435	00:00:00	12.15	0.13	60.72	72.87	0.08
J436	00:00:00	17.68	0.76	50.23	67.91	0.43
J438	00:00:00	10.43	1.51	63.74	74.17	0.86
J1169	00:00:00	55.42	0.44	73.35	128.77	0.24
J439	00:00:00	17.78	1.31	49.71	67.49	0.74
J330	00:00:00	58.25	0.63	47.26	105.51	0.33
J331	00:00:00	59.26	0.48	46.21	105.47	0.25
J332	00:00:00	44.18	1.32	21.31	65.49	0.75
J333	00:00:00	25.70	1.05	44.20	69.90	0.60
J334	00:00:00	29.28	1.05	40.58	69.86	0.60
J335	00:00:00	25.08	0.71	44.94	70.02	0.41
J336	00:00:00	23.81	0.16	46.49	70.30	0.09
J337	00:00:00	22.11	0.94	52.05	74.16	0.53
J231	00:00:00	71.90	1.16	37.60	109.50	0.61
J232	00:00:00	69.81	1.52	39.69	109.50	0.80
J233	00:00:00	74.23	0.00	64.01	138.24	0.00
J234	00:00:00	64.06	0.03	73.27	137.33	0.02
J236	00:00:00	58.00	0.91	54.09	112.09	0.49
J237	00:00:00	73.14	1.53	38.95	112.09	0.82
J130	00:00:00	54.52	0.72	40.00	94.52	0.44
J131	00:00:00	88.05	1.13	45.95	134.00	0.70
J132	00:00:00	74.55	0.84	61.14	135.69	0.52
J133	00:00:00	69.58	0.86	66.08	135.66	0.53
J60	00:00:00	55.00	0.77	56.61	111.61	0.41
J134	00:00:00	80.70	0.59	56.19	136.89	0.36
J135	00:00:00	70.00	0.67	67.08	137.08	0.42
J62	00:00:00	60.00	0.45	49.96	109.96	0.24
J64	00:00:00	82.00	0.09	24.98	106.98	0.05
J65	00:00:00	82.00	0.41	24.98	106.98	0.22
J66	00:00:00	72.00	1.63	38.31	110.31	0.87
J67	00:00:00	81.00	0.10	26.78	107.78	0.05
J68	00:00:00	73.00	0.65	34.44	107.44	0.35
J69	00:00:00	71.00	0.61	36.43	107.43	0.33
J1170	00:00:00	54.54	0.82	74.23	128.77	0.44
J441	00:00:00	69.00	0.00	72.83	141.83	0.00
J444	00:00:00	29.46	0.79	43.87	73.33	0.45
J341	00:00:00	14.89	0.43	57.76	72.65	0.24
J344	00:00:00	54.70	1.05	74.07	128.77	0.57
J345	00:00:00	49.97	0.90	78.80	128.77	0.49
J347	00:00:00	54.40	0.26	74.37	128.77	0.14
J348	00:00:00	62.18	1.56	47.40	109.58	0.82
J349	00:00:00	36.41	1.09	73.83	110.24	0.57
J241	00:00:00	70.00	0.84	42.50	112.50	0.45
J242	00:00:00	65.00	0.65	47.50	112.50	0.35
J243	00:00:00	60.00	0.18	52.50	112.50	0.10
J244	00:00:00	70.00	1.31	42.29	112.29	0.70
J245	00:00:00	71.00	0.77	41.42	112.42	0.41
J246	00:00:00	55.00	1.26	57.15	112.15	0.67
J247	00:00:00	57.00	0.99	55.29	112.29	0.53
J248	00:00:00	54.00	1.39	58.35	112.35	0.74
J249	00:00:00	50.00	0.03	63.22	113.22	0.02
J142	00:00:00	5.53	0.35	69.41	74.94	0.20
J143	00:00:00	6.30	0.12	68.63	74.93	0.07
J70	00:00:00	70.00	0.18	37.43	107.43	0.09
J144	00:00:00	4.17	0.55	70.73	74.90	0.31
J71	00:00:00	77.00	0.21	30.61	107.61	0.11
J72	00:00:00	75.00	4.02e-04	32.55	107.55	2.15e-04
